osmid	x	y	primary
12885866	-21.9374735	64.0672714	False
12885876	-21.9399509	64.0761569	True
12885922	-22.0878904	64.0319775	False
12885923	-21.9378515	64.0672598	False
12885924	-21.9380784	64.0670465	True
12885930	-21.9406337	64.0759348	True
12885937	-22.036558	64.0414971	False
12885952	-21.9401375	64.0762733	True
12885974	-21.9379271	64.0669345	False
12885979	-21.9406832	64.0762644	True
12885991	-21.9408534	64.0760836	True
12886003	-21.9379884	64.0672095	True
12886006	-21.9372509	64.0671922	False
12886026	-21.937363	64.0669266	False
12886027	-21.9400973	64.0759544	True
13472322	-21.7770724	64.1059415	False
13472516	-21.7847679	64.1235709	False
13472723	-21.6673018	64.0805985	False
13472744	-21.7806694	64.1119162	False
13489663	-21.8324909	64.1237812	False
13490026	-21.8490554	64.1249883	False
13800292	-21.5338839	64.0591112	False
14581636	-21.9672064	64.0544587	True
14581771	-21.9667295	64.0546391	True
14581824	-21.9664529	64.0544658	True
14581900	-21.9667646	64.0543162	True
14581950	-21.9668849	64.0543154	True
14581956	-21.9624808	64.0619527	True
14581975	-21.9671785	64.0545439	True
14581979	-21.9664762	64.0544207	True
14586467	-21.7061783	64.1647118	False
14586500	-21.9095069	64.1012981	True
14586684	-21.9047277	64.1133342	True
14586813	-21.9000327	64.1290017	True
14586932	-21.9745407	64.0527467	True
14586972	-21.7644946	64.1320481	False
14586999	-21.9742597	64.0527251	True
14587063	-21.9042021	64.1035032	True
14587161	-21.9740555	64.0528015	True
14705468	-21.9746503	64.0529151	True
14772868	-21.6934716	64.1652815	False
14772869	-21.6931139	64.1652696	True
14772872	-21.6958119	64.164698	False
14772879	-21.692736	64.1654229	True
16570604	-21.7909159	64.1243715	False
16570606	-21.7975961	64.1242408	False
21579318	-21.9148669	64.145634	True
21579325	-21.9222988	64.1378655	True
21579328	-21.9283191	64.1422414	False
21579341	-21.8934301	64.1475268	True
21579344	-21.9260814	64.14381	False
21579354	-21.928758	64.1463749	False
21579369	-21.9191074	64.1436998	False
21579375	-21.9250432	64.1448602	False
21579387	-21.8929775	64.1400361	True
21579442	-21.8756867	64.1294596	True
26448964	-22.0281534	64.152579	False
26448986	-22.0055031	64.1535164	False
26448992	-22.0029432	64.1514042	False
26449005	-21.9872472	64.1505982	False
26449006	-21.9862909	64.1507095	False
26449359	-22.0049018	64.1559572	False
26449371	-22.0072545	64.1549311	False
26449375	-22.0069193	64.155275	False
26449379	-22.0068592	64.1556593	False
26449387	-22.0065087	64.156245	False
26449395	-22.0065806	64.1565503	False
26449400	-22.0060148	64.157096	False
26449410	-22.0066351	64.1578111	False
26449413	-22.0057708	64.1561057	False
26449748	-21.9865716	64.1552251	False
26449755	-21.9997643	64.1593447	False
26449759	-22.0041174	64.1601849	False
26449762	-22.0063708	64.1614708	False
26449786	-22.0133581	64.1625266	False
26449807	-22.0049801	64.1589179	False
26449829	-22.0078274	64.1602006	False
26449886	-22.0031438	64.1559819	False
26452391	-21.9969775	64.1493071	False
26452392	-21.9946348	64.1496663	False
26452393	-21.9945235	64.1492023	False
26452394	-21.9955539	64.1491859	False
26452397	-21.9917405	64.1494846	False
26452404	-22.0010131	64.1512419	False
26452405	-21.9999537	64.1509111	False
26452406	-21.9996475	64.15171	False
26452407	-21.9986964	64.1514331	False
26452408	-21.9983009	64.1521827	False
26452409	-21.9976663	64.1519973	False
26452413	-21.9982495	64.1529582	False
26452414	-21.9970685	64.1530257	False
26452417	-21.9985141	64.1536718	False
26452418	-21.9973814	64.1536726	False
26452420	-21.9982927	64.154069	False
26452425	-21.9964313	64.1559966	False
26452432	-21.9998551	64.1543555	False
26452439	-21.9993846	64.1566349	False
26452442	-22.0026262	64.1548426	False
26452443	-22.0012638	64.1546106	False
26452446	-22.0033733	64.1538712	False
26452447	-22.003217	64.1538478	False
26452448	-22.0035443	64.1538967	False
26452456	-22.0042918	64.1529552	False
26452459	-22.0046777	64.1532502	False
26452461	-22.0037167	64.1523479	False
26452462	-22.0029325	64.1516063	False
26452626	-21.9942451	64.1511645	False
26452630	-21.9934267	64.1513015	False
26452632	-21.9897398	64.1518963	False
26452633	-21.9902786	64.1525515	False
26452645	-21.9927431	64.1521467	False
26452646	-21.9943598	64.1521263	False
26452647	-21.9941485	64.1521518	False
26452648	-21.9945716	64.1521294	False
26452649	-21.9928935	64.1523392	False
26452652	-21.9938316	64.1519651	False
26452660	-21.9942271	64.1519174	False
26452677	-21.9848957	64.1509317	False
26452679	-21.9842849	64.1515928	False
26452686	-21.9954276	64.1567051	False
26452688	-21.9996192	64.1582084	False
26452689	-21.9987883	64.1580629	False
26452690	-21.9975714	64.1578571	False
26452691	-21.9966417	64.1576906	False
26452692	-21.995713	64.1575284	False
26452694	-21.9943275	64.1578504	False
26452695	-21.9951937	64.1580949	False
26452696	-21.9959713	64.1584219	False
26452698	-21.9971301	64.1586838	False
26452699	-21.9985072	64.1583683	False
26452700	-21.9978095	64.1582446	False
26452702	-21.9975358	64.1585185	False
26452703	-21.9993475	64.1585174	False
26452705	-22.0001054	64.1586519	False
26452706	-21.9990208	64.1588887	False
26452707	-21.9982787	64.1587866	False
26452708	-21.9997893	64.1590013	False
26452710	-21.9906172	64.1573076	False
26452713	-21.9931522	64.1555477	False
26452717	-21.9945314	64.1559703	False
26452718	-21.9869032	64.1551839	False
26452720	-21.9912999	64.1543805	False
26452729	-21.9919338	64.1550416	False
26459538	-21.9835464	64.1484357	False
26459540	-21.9823127	64.1477464	False
26459545	-21.9790278	64.1465534	False
26459549	-21.9764678	64.1458292	False
26459554	-21.9707553	64.1446925	False
26459562	-21.9820499	64.1507539	True
26459574	-21.9821833	64.1478046	False
26459580	-21.9779496	64.1463195	False
26459589	-21.977497	64.1469613	False
26459591	-21.9773929	64.1473291	False
26459593	-21.9773136	64.1476538	False
26459596	-21.9762941	64.1481548	False
26459598	-21.9781191	64.1477007	False
26459600	-21.9777693	64.1482804	False
26459603	-21.9792503	64.1476327	False
26459606	-21.9800049	64.1478861	False
26459611	-21.9787838	64.1484353	False
26459617	-21.9806447	64.148722	False
26459618	-21.9802387	64.1486051	False
26459619	-21.9807829	64.1487618	False
26459620	-21.9813624	64.1483003	False
26459629	-21.9828272	64.1491176	False
26459635	-21.9846495	64.1480243	False
26459637	-21.9857711	64.1476051	False
26459638	-21.9861751	64.1474688	False
26459640	-21.9869194	64.147196	False
26459644	-21.9854974	64.1467573	False
26459645	-21.9852545	64.1483546	False
26459646	-21.9846975	64.1490982	False
26459647	-21.9858254	64.1486745	False
26459648	-21.9852215	64.1495254	False
26459649	-21.9864064	64.1490338	False
26459651	-21.9857729	64.1499223	False
26459658	-21.9891194	64.1497361	False
26459660	-21.9904311	64.1494254	False
26459662	-21.9913627	64.1489035	False
26459676	-21.9836823	64.14699	False
26459679	-21.9829682	64.1472925	False
26459681	-21.9837355	64.1476785	False
26471908	-21.9831528	64.1511345	True
26471917	-21.9712396	64.1496125	True
26471926	-21.9598662	64.1508311	True
26471928	-21.9802225	64.1470457	False
26471931	-21.9598122	64.1508046	True
26471933	-21.9591212	64.1509561	True
26471934	-21.9594311	64.1511115	True
26471936	-21.9598037	64.1510724	True
26471941	-21.9582411	64.1482749	True
26471945	-21.9486322	64.1428713	True
26471948	-21.9485732	64.1426601	True
26471949	-21.9482613	64.1425844	True
26471951	-21.9477652	64.1427217	True
26471955	-21.948274	64.1429882	True
26471969	-21.9112655	64.135104	False
26471970	-21.910463	64.1349471	False
26471976	-21.9528581	64.1527804	True
26471979	-21.9523642	64.1528622	True
26471984	-21.9530861	64.1529662	True
26471989	-21.9520609	64.1538465	False
26471992	-21.9484793	64.154917	False
26471997	-21.9416966	64.1569635	False
26478202	-21.9469545	64.1539372	False
26478210	-21.9408264	64.1562498	False
26479325	-21.9343871	64.1482728	True
26480961	-21.882583	64.1516389	True
26480977	-21.8493408	64.1274994	False
26480981	-21.8466406	64.1204293	True
26480984	-21.8434447	64.1158309	False
26481001	-21.8899748	64.0930906	False
26481016	-21.9209099	64.139145	True
26481021	-21.9164925	64.1432038	True
26481023	-21.914858	64.1449961	True
26481026	-21.9184601	64.144328	False
26481027	-21.9243719	64.1455089	False
26481028	-21.9211665	64.144876	False
26481031	-21.9229892	64.134748	True
26481038	-21.9150368	64.1305064	True
26481043	-21.9086194	64.1274017	True
26481046	-21.9027147	64.1263243	True
26481052	-21.8900117	64.1242808	True
26481056	-21.883152	64.1233116	True
26481060	-21.8752433	64.1224396	True
26481062	-21.8697723	64.121762	True
26481064	-21.8634482	64.1211022	True
26481069	-21.8536612	64.1204408	True
26481070	-21.8510361	64.1205733	True
26481074	-21.8477484	64.1201617	True
26482479	-21.9277602	64.1488472	True
